let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
719,Andebu,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,713,5546,2,158,36.6,2,1.8,0.2,1.3,0,0,1.4,2,0.7,87.9,0,0,282,282,3.6,2.4,112.9,0.2,0,0,1.2,369,0.1,4,308,2.3,0,0,55.9,2.9,12.1,4.3,17.2,0
719,Andebu,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,722,5719,1.6,237,39.5,1.9,1.6,0.2,1,0,0,0.9,1.9,0.7,85.2,0,0,305,305,3.4,2.7,105.4,0.5,0,0,1.2,375,0.1,4.5,196,4.7,0,0,54.2,20.8,3.5,4.2,3.4,0
719,Andebu,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,751,5860,1.4,260,40.7,1.9,0.7,0.2,1.2,0,0,0.9,1.8,0.7,83.1,0,0,301,301,3.6,2.8,113.8,0.3,0,0,1,380,0.1,4.2,402,2.9,0,0,52.9,0,3.4,0.9,1.9,0
719,Andebu,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,738,5937,1.5,231,0,2,0.5,0,2.4,0,0,0,0,1,105.4,0,0,304,304,4.3,3.4,113,0.5,0,0,1,382,0.1,4.7,246,1.7,0,0,52.2,0,7.7,0.2,1.2,1.7
720,Stokke,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,1426,11398,1.8,159,43.3,1.8,1.9,0.6,28,0,0,1.1,0.2,0.9,115.4,0,0,282,282,4.7,3.4,119.5,0,0,0,1.1,361,0.1,4,348,1.9,0,115.4,0,7,27.8,6.5,5.3,20.1
720,Stokke,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,1441,11509,1.6,192,20.2,1.4,1.4,0.5,31.4,0,0,1.1,0,0.9,114.3,0,0,305,305,4.7,3.4,116.3,0.3,0,0,1,366,0.1,4,340,5.2,0,0,0,0,18.6,6.7,8.1,19.9
720,Stokke,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,1435,11506,1.4,228,0,1.4,1.4,0.5,28.3,0,0,1.1,0,0.9,114.3,0,0,301,301,4.2,3.3,114.2,0,0,0,1.1,367,0.1,4.4,378,5.8,0,0,0,10.4,4.1,6.8,5.5,19.9
720,Stokke,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,1441,11657,1.2,258,2.6,1.4,1.2,0.6,28.7,0,0,0,0,0.7,132.7,0,0,304,304,4.1,3.3,105.3,0,0,0,1.1,374,0.1,4.6,295,3.7,5.6,0,0,10.9,0.7,6.2,6.6,22.2
722,Nøtterøy,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,2725,21100,3.6,38,60.6,0.6,1.4,0.3,0,0,0,1.4,2.1,1.2,241.1,0,0,282,282,7.6,4.2,188.2,0.9,0.2,0.1,1.3,364,0.1,4.2,302,1.5,0,6.7,0,6.1,20,9,5.1,9.1
722,Nøtterøy,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,2749,21403,3.5,39,53.4,1,1.2,0.4,0,0,0,1.9,1.8,1.2,237.7,0,0,305,305,6.8,4.5,185.1,1,0.2,0.2,1.3,393,0.1,4.5,242,3.9,2.1,8.9,0,8,17.5,7.5,7.6,9
